Datetime,_id,Datetime,Date,Settlement_period,Capacity,Wind_Forecast,ForecastDatetime
2024-10-25 22:00:00,172,2024-10-25T22:00:00,2024-10-25,47,21347,12120,2024-10-22T08:00:19
2024-10-25 22:30:00,173,2024-10-25T22:30:00,2024-10-25,48,21347,12148,2024-10-22T08:00:19
2024-10-25 23:00:00,174,2024-10-25T23:00:00,2024-10-26,1,21347,12173,2024-10-22T08:00:19
2024-10-25 23:30:00,175,2024-10-25T23:30:00,2024-10-26,2,21347,12196,2024-10-22T08:00:19
2024-10-26 00:00:00,176,2024-10-26T00:00:00,2024-10-26,3,21347,12296,2024-10-22T08:00:19
2024-10-26 00:30:00,177,2024-10-26T00:30:00,2024-10-26,4,21347,12473,2024-10-22T08:00:19
2024-10-26 01:00:00,178,2024-10-26T01:00:00,2024-10-26,5,21347,12638,2024-10-22T08:00:19
2024-10-26 01:30:00,179,2024-10-26T01:30:00,2024-10-26,6,21347,12793,2024-10-22T08:00:19
2024-10-26 02:00:00,180,2024-10-26T02:00:00,2024-10-26,7,21347,12935,2024-10-22T08:00:19
2024-10-26 02:30:00,181,2024-10-26T02:30:00,2024-10-26,8,21347,13063,2024-10-22T08:00:19
2024-10-26 03:00:00,182,2024-10-26T03:00:00,2024-10-26,9,21347,13237,2024-10-22T08:00:19
2024-10-26 03:30:00,183,2024-10-26T03:30:00,2024-10-26,10,21347,13457,2024-10-22T08:00:19
2024-10-26 04:00:00,184,2024-10-26T04:00:00,2024-10-26,11,21347,13662,2024-10-22T08:00:19
2024-10-26 04:30:00,185,2024-10-26T04:30:00,2024-10-26,12,21347,13854,2024-10-22T08:00:19
2024-10-26 05:00:00,186,2024-10-26T05:00:00,2024-10-26,13,21347,14031,2024-10-22T08:00:19
2024-10-26 05:30:00,187,2024-10-26T05:30:00,2024-10-26,14,21347,14193,2024-10-22T08:00:19
2024-10-26 06:00:00,188,2024-10-26T06:00:00,2024-10-26,15,21347,14387,2024-10-22T08:00:19
2024-10-26 06:30:00,189,2024-10-26T06:30:00,2024-10-26,16,21347,14612,2024-10-22T08:00:19
2024-10-26 07:00:00,190,2024-10-26T07:00:00,2024-10-26,17,21347,14797,2024-10-22T08:00:19
2024-10-26 07:30:00,191,2024-10-26T07:30:00,2024-10-26,18,21347,14941,2024-10-22T08:00:19
2024-10-26 08:00:00,192,2024-10-26T08:00:00,2024-10-26,19,21347,15050,2024-10-22T08:00:19
2024-10-26 08:30:00,193,2024-10-26T08:30:00,2024-10-26,20,21347,15123,2024-10-22T08:00:19
2024-10-26 09:00:00,194,2024-10-26T09:00:00,2024-10-26,21,21347,15280,2024-10-22T08:00:19
2024-10-26 09:30:00,195,2024-10-26T09:30:00,2024-10-26,22,21347,15521,2024-10-22T08:00:19
2024-10-26 10:00:00,196,2024-10-26T10:00:00,2024-10-26,23,21347,15726,2024-10-22T08:00:19
2024-10-26 10:30:00,197,2024-10-26T10:30:00,2024-10-26,24,21347,15895,2024-10-22T08:00:19
2024-10-26 11:00:00,198,2024-10-26T11:00:00,2024-10-26,25,21347,16030,2024-10-22T08:00:19
2024-10-26 11:30:00,199,2024-10-26T11:30:00,2024-10-26,26,21347,16133,2024-10-22T08:00:19
2024-10-26 12:00:00,200,2024-10-26T12:00:00,2024-10-26,27,21347,16226,2024-10-22T08:00:19
2024-10-26 12:30:00,201,2024-10-26T12:30:00,2024-10-26,28,21347,16310,2024-10-22T08:00:19
2024-10-26 13:00:00,202,2024-10-26T13:00:00,2024-10-26,29,21347,16324,2024-10-22T08:00:19
2024-10-26 13:30:00,203,2024-10-26T13:30:00,2024-10-26,30,21347,16266,2024-10-22T08:00:19
2024-10-26 14:00:00,204,2024-10-26T14:00:00,2024-10-26,31,21347,16148,2024-10-22T08:00:19
2024-10-26 14:30:00,205,2024-10-26T14:30:00,2024-10-26,32,21347,15969,2024-10-22T08:00:19
2024-10-26 15:00:00,206,2024-10-26T15:00:00,2024-10-26,33,21347,15883,2024-10-22T08:00:19
2024-10-26 15:30:00,207,2024-10-26T15:30:00,2024-10-26,34,21347,15889,2024-10-22T08:00:19
2024-10-26 16:00:00,208,2024-10-26T16:00:00,2024-10-26,35,21347,15835,2024-10-22T08:00:19
2024-10-26 16:30:00,209,2024-10-26T16:30:00,2024-10-26,36,21347,15719,2024-10-22T08:00:19
2024-10-26 17:00:00,210,2024-10-26T17:00:00,2024-10-26,37,21347,15567,2024-10-22T08:00:19
2024-10-26 17:30:00,211,2024-10-26T17:30:00,2024-10-26,38,21347,15378,2024-10-22T08:00:19
2024-10-26 18:00:00,212,2024-10-26T18:00:00,2024-10-26,39,21347,15265,2024-10-22T08:00:19
2024-10-26 18:30:00,213,2024-10-26T18:30:00,2024-10-26,40,21347,15229,2024-10-22T08:00:19
2024-10-26 19:00:00,214,2024-10-26T19:00:00,2024-10-26,41,21347,15190,2024-10-22T08:00:19
2024-10-26 19:30:00,215,2024-10-26T19:30:00,2024-10-26,42,21347,15147,2024-10-22T08:00:19
2024-10-26 20:00:00,216,2024-10-26T20:00:00,2024-10-26,43,21347,15101,2024-10-22T08:00:19
2024-10-26 20:30:00,217,2024-10-26T20:30:00,2024-10-26,44,21347,15051,2024-10-22T08:00:19
2024-10-26 21:00:00,218,2024-10-26T21:00:00,2024-10-26,45,21347,15003,2024-10-22T08:00:19
2024-10-26 21:30:00,219,2024-10-26T21:30:00,2024-10-26,46,21347,14957,2024-10-22T08:00:19
2024-10-26 22:00:00,220,2024-10-26T22:00:00,2024-10-26,47,21347,14907,2024-10-22T08:00:19
